das Fahrrad,the bicycle,2/3
die Straße,the street,2/2
der Baum,the tree,2/3
der Garten,the garden,0/0
die Schule,the school,0/0
die Arbeit,the work/job,0/0
die Tür,the door,0/0
das Fenster,the window,0/0
das Wasser,the water,0/0
das Essen,the food,0/0
der Apfel,the apple,0/0
das Brot,the bread,0/0
die Milch,the milk,0/0
der Kaffee,the coffee,0/0
die Zeitung,the newspaper,0/0
das Geld,the money,0/0
die Uhr,the clock,0/0
die Sonne,the sun,0/0
der Mond,the moon,0/0
die Sterne,the stars,0/0
die Welt,the world,0/0
das Jahr,the year,0/0
der Tag,the day,0/0
die Nacht,the night,0/0
das Zimmer,the room,0/0
die Stadt,the city,0/0
der Fluss,the river,0/0
der Berg,the mountain,0/0
gut,good,0/0
schlecht,bad,0/0
groß,big,0/0
lang,long,0/0
kurz,short,0/0
alt,old,0/0
neu,new,0/0
heiß,hot,0/0
schön,beautiful,0/0
hässlich,ugly,0/0
stark,strong,0/0
schnell,fast,0/0
langsam,slow,0/0
teuer,expensive,0/0
billig,cheap,0/0
freundlich,friendly,0/0
glücklich,happy,0/0
traurig,sad,0/0
jung,young,0/0
alt,old,0/0
laut,loud,0/0
heute,today,0/0
morgen,tomorrow,0/0
gestern,yesterday,0/0
jetzt,now,0/0
hier,here,0/0
der Hund,the dog,0/0
werden,to become,0/0
machen,to do/make,0/0
gehen,to go,0/0
stehen,to stand,0/0
nehmen,to take,0/0
der Tisch,the table,0/0
der Zug,the train,0/0
die Blume,the flower,0/0
das Handy,the mobile phone,0/0
das Land,the country,0/0
klein,small,0/0
kalt,cold,0/0
schwach,weak,0/0
unfreundlich,unfriendly,0/0
﻿sein,to be,0/0
haben,to have,0/0
können,can,0/0
sagen,to say,0/0
müssen,must,0/0
wollen,to want,0/0
geben,to give,0/0
kommen,to come,0/0
wissen,to know,0/0
sehen,to see,0/0
lassen,to let/allow,0/0
finden,to find,0/0
der Stuhl,the chair,2/7
das Buch,the book,2/2
die Katze,the cat,2/2
das Auto,the car,2/2
die Freundin,the friend (female),2/2
das Haus,the house,2/2
die Frau,the woman,2/2
das Kind,the child,2/2
der Freund,the friend (male),2/2
lesen,to read,2/2
schreiben,to write,2/2
der Mann,the man,2/2
spielen,to play,2/2
arbeiten,to work,2/2
helfen,to help,2/2
bleiben,to stay,2/2
bringen,to bring,2/2
denken,to think,2/2
